bowler,runs_conceded,bowled_balls,overs,economy
M Muralitharan,1765,1581,263.5,6.698292220113852
SP Narine,4672,4146,691.0,6.7612156295224315
DW Steyn,2583,2282,380.3333333333333,6.791411042944786
Rashid Khan,3340,2901,483.5,6.907962771458118
R Ashwin,5435,4679,779.8333333333334,6.969437914084206
SL Malinga,3486,2974,495.6666666666667,7.032952252858103
Harbhajan Singh,4101,3496,582.6666666666666,7.0383295194508015
SK Warne,1465,1223,203.83333333333334,7.187244480784955
JJ Bumrah,3840,3185,530.8333333333334,7.233908948194662
KH Pandya,2644,2183,363.8333333333333,7.267063673843335
